'ID,Serial No,Location,Mfg.,Type,Model,Reading Date,Reading Time,Reading Timezone,Hour Meter,Operator Logon,Equipment Idle,Equipment Meter Usage,Equipment Travel,Equipment Hydraulic
029,9A225842,Greencastle Materials,Crown Equipment Corporation,FC,FC5225-50,07/31/20,02:46:01 PM,EDT,4785.2,65.0,30.5,34.5,20.8,5.7
029I,9A126665,Greencastle Materials,Crown Equipment Corporation,FC,FC4020-50,07/27/20,07:23:35 AM,EDT,10822.7,2.3,0.5,1.8,1.0,0.2
124,9A220763,Greencastle Materials,Crown Equipment Corporation,IC,C51050-65,07/31/20,10:47:45 AM,EDT,675.3,19.3,0.6,18.6,7.9,0.7
020,6A276547,Greencastle Materials,Crown Equipment Corporation,PW,PW3520-80,07/31/20,02:28:05 PM,EDT,1573.1,68.5,60.9,7.5,7.5,0.4
048,6A172793,Greencastle Materials,Crown Equipment Corporation,PW,PW3520-80,07/31/20,10:52:57 PM,EDT,410.5,33.3,26.7,6.6,6.6,0.0
001,1A414314,Greencastle Materials,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:40:59 PM,EDT,12740.0,120.2,67.8,52.4,39.2,11.7
022,1A557465,Greencastle Materials,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,02:38:25 PM,EDT,1531.9,132.6,77.3,55.3,39.6,14.3
064,1A553583,Greencastle Materials,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:33:00 PM,EDT,2026.7,245.3,90.2,155.1,122.8,33.6
115,1A523713,Greencastle Materials,Crown Equipment Corporation,RC5500,RC5535-35,07/31/20,10:41:50 PM,EDT,5091.0,278.5,107.0,171.5,139.9,26.6
004,1A388848,Greencastle Materials,Crown Equipment Corporation,RM6000,RM6095S-45,07/31/20,10:40:15 PM,EDT,11268.7,138.3,56.8,81.6,56.9,26.4
005,1A388849,Greencastle Materials,Crown Equipment Corporation,RM6000,RM6095S-45,07/31/20,10:43:52 PM,EDT,16114.3,173.8,71.0,102.8,64.5,21.6
062,1A575644,Greencastle Materials,Crown Equipment Corporation,RM6000,RM6095S-45,07/31/20,10:40:18 PM,EDT,1363.1,368.8,136.2,232.6,145.9,32.5
015,1A579676,Greencastle Materials,Crown Equipment Corporation,SP,SP4020-30,07/31/20,10:00:49 PM,EDT,143.2,169.3,125.7,43.6,44.5,13.4
017,1A579677,Greencastle Materials,Crown Equipment Corporation,SP,SP4020-30,07/31/20,10:25:07 PM,EDT,307.7,323.1,245.7,77.4,76.7,28.1
023,1A579678,Greencastle Materials,Crown Equipment Corporation,SP,SP4020-30,07/31/20,10:26:34 PM,EDT,262.8,315.8,223.3,92.4,94.1,28.8
031,1A434081,Greencastle Materials,Crown Equipment Corporation,SP,SP3520-30,07/27/20,04:31:37 PM,EDT,18861.2,25.3,5.4,19.9,6.2,1.9
041,1A446323,Greencastle Materials,Crown Equipment Corporation,SP,SP3520-30,07/31/20,01:55:58 PM,EDT,15651.6,1.1,0.1,1.0,0.4,0.1
107,1A460243,Greencastle Materials,Crown Equipment Corporation,SP,SP3520-30,07/31/20,10:21:50 PM,EDT,10302.0,244.3,22.5,221.8,71.0,22.9
125,1A533209,Greencastle Materials,Crown Equipment Corporation,SP,SP4020-30,07/31/20,09:20:26 PM,EDT,2285.5,173.2,127.3,45.9,46.4,14.5
119,10078857,Greencastle Materials,Crown Equipment Corporation,TR 4500,TR4500-250,07/15/20,11:08:42 AM,EDT,333.6,0.1,0.1,0.1,0.1,0.0
120,10080345,Greencastle Materials,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,02:18:42 PM,EDT,367.8,143.2,128.1,15.2,15.7,0.0
121,10082583,Greencastle Materials,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,10:31:13 PM,EDT,585.8,54.2,35.2,19.0,19.1,0.0
122,10114149,Greencastle Materials,Crown Equipment Corporation,TR 4500,TR4500-250,07/31/20,07:56:37 PM,EDT,556.5,52.6,33.4,19.2,19.4,0.0
007,1A389950,Greencastle Materials,Crown Equipment Corporation,TSP,TSP6500-33,07/31/20,10:41:43 PM,EDT,31620.8,316.3,15.9,300.4,124.5,100.7
